2288;NULL;PERSONA;19761223;20200303;SOGAMOSO;B;510; Extraccion de hulla (carbon de piedra);EXTRACCION DE CARBÓN;EXPLOTACION DE MINAS Y CANTERAS;5000000;0;NO AFILIADO;1;MICRO
2625;NULL;PERSONA;19770826;20200120;SOGAMOSO;G;4762; Comercio al por menor de articulos deportivos  en establecimientos especializados;ARTICULOS DEPORTIVOS;COMERCIO AL POR MAYOR Y AL POR MENOR/REPARACION DE VEHICULOS AUTOMOTORES Y MOTOCICLETAS;400000;0;NO AFILIADO;1;MICRO
2674;NULL;PERSONA;19770829;20200618;SOGAMOSO;C;1081; Elaboracion de productos de panaderia;PANADERIAS;INDUSTRIAS Y MANUFACTURERAS;6000000;0;NO AFILIADO;1;MICRO
2836;NULL;PERSONA;19770831;20200701;SOGAMOSO;I;5511; Alojamiento en hoteles;HOTELES Y OTROS TIPOS DE ALOJAMIENTO;ALOJAMIENTO Y SERVICIOS DE COMIDA;8500000;0;NO AFILIADO;1;PEQUEÑA
2863;NULL;PERSONA;19770914;20200226;SOGAMOSO;G;4752; Comercio al por menor de articulos de ferreteria  pinturas y productos de vidrio en establecimientos especializados;FERRETERÍAS, VIDRIERIAS Y PINTURAS;COMERCIO AL POR MAYOR Y AL POR MENOR/REPARACION DE VEHICULOS AUTOMOTORES Y MOTOCICLETAS;2800000;0;AFILIADO;1;PEQUEÑA
2939;NULL;PERSONA;19770929;20200212;SOGAMOSO;S;9602; Peluqueria y otros tratamientos de belleza;PELUQUERIAS / SALAS DE BELLEZA / SPA;OTRAS ACTIVIDADES DE SERVICIO;6103517;0;NO AFILIADO;1;PEQUEÑA
3005;NULL;PERSONA;19771027;20200109;MONGUA;G;4711; Comercio al por menor en establecimientos no especializados con surtido compuesto principalmente por alimentos  bebidas o tabaco;TIENDAS Y VIVERES;COMERCIO AL POR MAYOR Y AL POR MENOR/REPARACION DE VEHICULOS AUTOMOTORES Y MOTOCICLETAS;2200000;0;NO AFILIADO;1;PEQUEÑA
3170;NULL;PERSONA;19780426;20200608;SOGAMOSO;B;812; Extraccion de arcillas de uso industrial  caliza  caolin y bentonitas;EXTRACCION DE ARENAS, ARCILLA Y CAL;EXPLOTACION DE MINAS Y CANTERAS;7000000;0;NO AFILIADO;1;MICRO
3225;NULL;PERSONA;19780612;20200221;SOGAMOSO;L;6820; Actividades inmobiliarias realizadas a cambio de una retribucion o por contrata;INMOBILIARIAS / ARRENDAMIENTOS;ACTIVIDADES INMOBILIARIAS;2000000;0;AFILIADO;1;PEQUEÑA
3498;NULL;PERSONA;19781020;20200205;SOGAMOSO;G;4711; Comercio al por menor en establecimientos no especializados con surtido compuesto principalmente por alimentos  bebidas o tabaco;TIENDAS Y VIVERES;COMERCIO AL POR MAYOR Y AL POR MENOR/REPARACION DE VEHICULOS AUTOMOTORES Y MOTOCICLETAS;3920000;0;NO AFILIADO;1;PEQUEÑA
